afferent:afferent
afferent:afferents
anterograde:anterograde
arise:arise
arise:arises
arise:arising
arise:arose
ascend:ascend
ascend:ascended
ascend:ascending
ascend:ascends
axon:axon
axon:axonal arbor
axon:axonal pathways
axon:axon bundle
axon:axon collaterals
axon:axons
bundle:bundle
bundle:bundles
callosal:callosal
circuit:circuit
circuit:circuitry
circuit:circuits
collateral:collateral
collateral:collaterals
collateral:collateral system
connect:connect
connect:connected
connect:connecting
connect:connection
connect:connections
connect:Connectivity
connect:connects
contact:contact
contact:contacted
contact:contacting
contact:contacts
course:coursed
course:courses
course:coursing
decussation:decussation
descend:descend
descend:descended
descend:descending
descend:descends
efferent:efferent
efferent:efferents
emanate:emanate
emanate:emanated
emanate:emanates
emanate:emanating
emerge:emerge
emerge:emerged
emerge:emerges
emerge:emerging
enter:enter
enter:entered
enter:entering
enter:enters
extend:extend
extend:extended
extend:extending
extend:extends
fascicle:fascicle
fascicle:fascicles
feedback:feedback
feedback:feed-back
feedback:Feedback
feedback:Feed-back
feedforward:feedforward
feedforward:feed-forward
feedforward:Feedforward
feedforward:Feed-forward
fiber:fiber
fiber:Fiber
fiber:fiber bundle
fiber:fibers
fiber:fiber tract
follow:follow
follow:followed
follow:following
follow:follows
give-rise-to:gave rise to
give-rise-to:give rise to
give-rise-to:gives rise to
give-rise-to:giving rise to
innervate:innervate
innervate:innervated
innervate:innervates
innervate:innervating
input:input
input:inputs
interconnect:interconnect
interconnect:interconnected
interconnect:interconnecting
leave:leave
leave:leaves
leave:leaving
link:linked
link:linking
link:links
long-range:long range
long-range:long-range
long-range:Long range
long-range:Long-range
long-range:Long Range
myelinated:myelinated
network:network
network:networks
orient:orient
orient:oriented
orient:orienting
orient:orients
originate:originate
originate:originated
originate:originates
originate:originating
output:output
output:outputs
pass:pass
pass:passed
pass:passing
path:path
path:paths
pathway:pathway
pathway:pathways
pattern:pattern
pattern:patterns
project:project
project:projected
project:projecting
project:projection
project:projections
project:projects
radiate:radiate
radiate:radiated
radiate:radiates
radiate:radiating
reach:reach
reach:reached
reach:reaches
reach:reaching
receive:receive
receive:receive
receive:Receive
receive:received
receive:receives
receive:receiving
reenter:reenter
reenter:reentering
reenter:reenters
retrograde:retrograde
run:run
run:ran
run:running
run:runs
send:send
send:sending
send:sends
send:sent
short-range:short range
short-range:short-range
short-range:Short range
short-range:Short-range
short-range:Short Range
source:source
source:sources
synapse:synapse on
synapse:synapses on
synapse:synapses with
synapse:synapse with
target:target
target:Target
target:targeted
target:targeting
target:targets
terminal:terminal
terminal:terminal
terminal:Terminal
terminal:terminals
terminate:terminate
terminate:terminated
terminate:terminates
terminate:terminating
trace:trace
trace:traces
trace:tracing
tract:tract
tract:tracts
trajectory:trajectories
trajectory:trajectory
transport:transported
transport:transporting
transport:transports
travel:travel
travel:traveling
travel:travels
white-matter:white matter
